Status,MatchType,VendorName,M2MVendorName,BillVendorId,M2MVendorID,CurrentCompanyName,Applied,Error,Note
Matched,Exact,PGI Steel,PGI STEEL,00901CGHDRVFNRI8vd8h,PGIS,,true,,
Matched,Exact,Phoenix Metals,PHOENIX METALS,00901IZNOJOQJKW8vdbe,PHOMET,,true,,
Matched,Exact,Powder Addiction,POWDER ADDICTION,00901CMQNNPIEXK8vddf,PADCT,,true,,
Matched,Exact,"Precise Barrels, LLC.","PRECISE BARRELS, LLC",00901FKNXMJRBUE8vd3h,PRECIB,,true,,
Matched,Exact,R.S. Hughes,R.S. HUGHES,00901BZSWPVMGMF8vd3d,RSHUS,,true,,
Matched,Exact,Reliable Hardware,RELIABLE HARDWARE,00901HICUDWKNFB8vd3g,RELIAB,,true,,
Matched,Exact,Ring Power Corp.,RING POWER,00901IOEFMRLRZP8vdbb,RINGP,,true,,
Matched,Exact,Safety-Kleen,SAFETY-KLEEN,00901VZRVUTSRLN8vdb7,SKLEEN,,true,,
Matched,Exact,Seminole Metal Finishing,SEMINOLE METAL FINISHING,00901AODTWLUJOK8vdf2,SEMFIN,,true,,
Matched,Exact,"Servtronics, Inc","SERVTRONICS, INC",00901JMQXASDYUA8vd5h,SINC,,true,,
Matched,Exact,Sherwin Williams Paint,SHERWIN WILLIAMS PAINT,00901EZKLKCHFXZ8vddb,SWP,,true,,
Matched,Exact,Sky Geek,SKY GEEK,00901XCTDCNCDYC8vd3s,SGEEK,,true,,
Matched,Exact,Solberg Manufacturing,SOLBERG MANUFACTURING,00901SBTDZLKJKY8vd6n,SOLMFG,,true,,
Matched,Exact,Southern States Toyota Lift,SOUTHERN STATES TOYOTA LIFT,00901ZNXMLNVJUM8vde8,SSLIFT,,true,,
Matched,Exact,Stanley Steemer,STANLEY STEEMER,00901HAXVAYLWNM8vd45,STANST,,false,Bill.com update vendor 00901HAXVAYLWNM8vd45 failed (400 BadRequest): : address.zipOrPostalCode: must not be blank; : address.city: must not be blank,
Matched,Exact,Staples,STAPLES,00901QEVAGHUXFY8vd46,STAP,,false,Bill.com update vendor 00901QEVAGHUXFY8vd46 failed (400 BadRequest): : address.zipOrPostalCode: must not be blank; : address.city: must not be blank,
Matched,Exact,Sunbelt Rentals Inc,SUNBELT RENTALS. INC,00901XKYLTVUVQD8vdc3,SUNBLT,,true,,
Matched,Exact,Sunstate Equipment Co.,SUNSTATE EQUIPMENT,00901JNDYSMUCMY8vd91,SUNST,,true,,
Matched,Exact,Synergy Equipment,SYNERGY EQUIPMENT,00901SPSJKJIJUC8vdcj,SYNEQP,,true,,
Matched,Exact,Syntime Metal & Plastic Products,SYNTIME METAL & PLASTIC PRODUCTS CO,00901GPNCOGMGGF8vd02,SYNTIM,,true,,
Matched,Exact,Tampa Bay Steel,TAMPA BAY STEEL,00901DFKWTHQGZS8vdd7,TBS,,true,,
Matched,Exact,Texas First Rentals,TEXAS FIRST RENTALS,00901UYIBVZWNKG8vd3y,TEXFIR,,true,,
Matched,Exact,TexTrail,TEXTRAIL,00901WXFNEZKCPY8vd3z,TEXTRA,,true,,
Matched,Exact,Textron Aviation Inc.,TEXTRON AVIATION INC.,00901NJLSXEMEKA8vd40,TEXTRO,,true,,
Matched,Exact,Torchstar Lighting,TORCHSTAR LIGHTING,00901WWWALXZYSL8vd0e,Torch,,false,Bill.com update vendor 00901WWWALXZYSL8vd0e failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank; : address.line1: must not be blank,
Matched,Exact,Trick Tools,TRICK-TOOLS,00901NGTJYAEZRQ8vd5r,TRICK,,false,Bill.com update vendor 00901NGTJYAEZRQ8vd5r failed (400 BadRequest): : address.zipOrPostalCode: must not be blank; : address.city: must not be blank,
Matched,Exact,Tychon,"TYCHON, INC",00901QNKWSUCBDF8vd4a,Tychon,,true,,
Matched,Exact,Uline,ULINE,00901ORJXWKZNHK8vdds,ULINE,,true,,
Matched,Exact,Unishippers,"UNISHIPPERS, LLC",00901DYHMDOBENA8vd84,UNISHI,,true,,
Matched,Exact,Universal Tool Engineering,UNIVERSAL TOOL & ENGINEERING,00901OWMHINVTRD8vddi,UTE,,true,,
Matched,Exact,US Logistics,US LOGISTICS,00901CGNFJLVRDQ8vdbx,USLog,,true,,
Matched,Exact,USAnchor,USANCHOR LLC,00901UJZVPQESZD8vd5i,USAnch,,true,,
Matched,Exact,"Versa Integrity Group, Inc.","VERSA INTEGRITY GROUP, INC.",00901IMAUAMIWOE8vd4e,VIGI,,true,,
Matched,Exact,Westbrook,WESTBROOK,00901GRZKDTWLDU8vde0,WB,,true,,
Matched,Exact,Windsor Metal Finishing,WINDSOR METAL FINISHING,00901PSHLOWCLNY8vd4j,WINDMF,,true,,
Matched,Exact,Xometry Inc.,XOMETRY INC.,00901KWUZIKYNFW8vd8m,XOM,,true,,
Matched,Exact,Zoro Tools*,ZORO TOOLS,00901OBDSSNBSEI8vde5,ZOROT,,true,,
Matched,Exact,Four Arrows Marketing LLC,Four Arrows Marketing,00901LCEQFUXSRV8vdau,001251,,true,,
Matched,Exact,KUL Office Furniture,KUL Office Furniture,00901UGFBCSFBLJ8vdbc,001252,,true,,
Matched,Exact,Metro Steel,Metro Steel,00901ZZNUDYJOQR8vdce,001254,,true,,
Matched,Exact,Bevel Corporation,Bevel Corporation,00901QNTMJTVCNV8vdb3,001256,,true,,
Matched,Exact,Epco,EPCO,00901ACKUZBZLTC8vda3,001257,,false,Bill.com update vendor 00901ACKUZBZLTC8vda3 failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,FFVA Mutual Insurance Company,FFVA Mutual Insurance Co.,00901JKTBZYKCEZ8vdb2,FFVA,,true,,
Matched,Exact,HRthought,HRthought,00901FSKXEMMJAX8vde2,HRTH,,true,,
Matched,Exact,Weldtest Services,"Weldtest Services, LLC",00901VKRPUTJDSG8vde4,WTS,,true,,
Matched,Exact,Elite Metal Finishing,Elite Metal Finishing,00901XYJGMIVJTT8vddv,001265,,false,Bill.com update vendor 00901XYJGMIVJTT8vddv failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,Bescutter,Bescutter,00901PVVRVEHWZU8vdai,001266,,false,Bill.com update vendor 00901PVVRVEHWZU8vdai failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,Andy's Garage Door LLC,Andy's Garage Door LLC,00901XMLMLTJLLG8vdbg,001267,,true,,
Matched,Exact,Fedex,FedEx,00901CNIMSXOEFG8vd1q,001268,,false,Bill.com update vendor 00901CNIMSXOEFG8vd1q failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,The Rust Store,The Rust Store,00901DOMLAJYUMM8vdat,001269,,false,Bill.com update vendor 00901DOMLAJYUMM8vdat failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,Qualified Machine Shop,Qualified Machine Shop,00901WIGJXPTSEL8vddu,001270,,true,,
Matched,Exact,Boyens Machining Inc.,Boyens Machining Inc,00901LBHYHAANFH8vdcm,001271,,true,,
Matched,Exact,1cutfab,1CutFab,00901FBTVFIZPRX8vdcl,001272,,true,,
Matched,Exact,"AirGas USA, LLC","Airgas USA, LLC",00901MBKJEXPSMA8vdcz,001273,,true,,
Matched,Exact,Riteway Brake Dies Inc,Riteway Brake Dies Inc,00901WAABYBIKSL8vdct,001274,,true,,
Matched,Exact,McNichols Company,McNichols,00901FBERMWFUPD8vddk,001276,,true,,
Matched,Exact,Elite Metal Tools,Elite Metal Tools,00901XJVWHPHTIE8vdcb,001279,,true,,
Matched,Exact,LEX Engineering,LEX Engineering,00901NJOKKJCTFD8vdf7,001283,,true,,
Matched,Exact,A&M Fire and Safety Equipment LLC,A&M Fire and Safety Equipment LLC,00901XXULHPVDAQ8vdde,001284,,true,,
Matched,Exact,Jennifer Poitier,Jennifer Poitier,00901RDPUGQFFEH8vdex,001285,,true,,
Matched,Exact,Contractors Tool Service,Contractors Tool Service,00901JCZDRNDYCJ8vdcp,001288,,true,,
Matched,Exact,Hydrafil,Hydrafil,00901ZINHJYCSKA8vdeo,001292,,true,,
Matched,Exact,Primo Brands,Primo Brands,00901LKJBUHPFGK8vde9,001295,,true,,
Matched,Exact,Playbook Digital Solutions LLC,Playbook Digital Solutions,00901ORMTBGJIJF8vddq,001296,,true,,
Matched,Exact,NDE ADVANCED SERVICES LLC,NDE Advanced Services,00901MLOPTEBHOQ8vdd9,001298,,true,,
Matched,Relaxed,5sSupplies.com,5SSUPPLIES,00901PYHJVABBDW8vgjh,5SSup,,,,
Unmatched,Exact,8020.COM,8020.COM,,8020,,,,No Bill.com vendor name matched (exact or relaxed).
Unmatched,Exact,ABSCO INDUSTRIAL WEIGHING & EQUIP,ABSCO INDUSTRIAL WEIGHING & EQUIP,,ABSCO,,,,No Bill.com vendor name matched (exact or relaxed).
Unmatched,Exact,ACCUSIZE INDUSTRIAL TOOLS,ACCUSIZE INDUSTRIAL TOOLS,,ACCUSZ,,,,No Bill.com vendor name matched (exact or relaxed).
Matched,Relaxed,AccuStream Sales and Service,ACCUSTREAM,00901QTPFLPZYTS8vgjo,AccuS,,,,
Matched,Relaxed,AeroBase,AEROBASE GROUP,00901IFPTRAPDNL8vgkc,AEROBA,,,,
Matched,Relaxed,All Valley Hose & Industrial Supply,ALL VALLEY HOSE,00901CIXXAQOMVZ8vgkp,ALLVAL,,,,
Unmatched,Exact,ALLPRORIGGING.COM,ALLPRORIGGING.COM,,APRIG,,,,No Bill.com vendor name matched (exact or relaxed).
Unmatched,Exact,ALRO METAL,ALRO METAL,,AM,,,,No Bill.com vendor name matched (exact or relaxed).
Matched,Relaxed,AWG American Welding & Gas,AMERICAN WELDING & GAS,00901LRINXULUXG8vdbj,AWG,,,,
Unmatched,Exact,AMERIGAS,AMERIGAS,,AMGAS,,,,No Bill.com vendor name matched (exact or relaxed).
Unmatched,Exact,ASCO MACHINE,ASCO MACHINE,,ASCO,,,,No Bill.com vendor name matched (exact or relaxed).
